highest,episode,time
1,9,00:00:37
2,39,00:01:41
3,113,00:04:34
4,119,00:04:39
5,183,00:06:58
6,199,00:07:40
7,214,00:08:08
8,220,00:08:33
9,232,00:09:05
10,231,00:09:06
11,234,00:09:18
12,240,00:09:18
13,230,00:09:22
14,238,00:09:28
15,245,00:09:31
16,241,00:09:31
17,259,00:10:05
18,266,00:10:19
19,269,00:10:34
20,286,00:11:01
21,284,00:11:18
22,295,00:11:20
23,297,00:11:21
24,304,00:11:33
25,357,00:13:41
26,362,00:13:49
27,367,00:14:03
28,368,00:14:04
29,374,00:14:13
30,384,00:14:18
31,386,00:14:20
32,387,00:14:26
33,389,00:14:30
34,392,00:14:31
35,398,00:14:36
36,388,00:14:37
37,403,00:14:42
38,402,00:14:43
39,396,00:14:53
40,397,00:15:06
41,409,00:15:06
42,420,00:15:16
43,410,00:15:17
44,418,00:15:31
45,424,00:15:39
46,426,00:15:39
47,429,00:15:45
48,440,00:15:55
49,443,00:16:06
50,453,00:16:20
51,457,00:16:28
52,456,00:16:31
53,459,00:16:39
54,526,00:18:08
55,520,00:18:20
56,545,00:18:26
57,558,00:18:58
58,565,00:19:01
59,567,00:19:03
60,566,00:19:03
61,568,00:19:09
62,577,00:19:10
63,572,00:19:12
64,573,00:19:13
65,575,00:19:51
66,588,00:19:54
67,600,00:19:59
68,601,00:20:02
69,624,00:20:36
70,631,00:20:39
71,636,00:20:52
72,632,00:20:52
73,643,00:21:03
74,644,00:21:03
75,641,00:21:04
76,649,00:21:12
77,657,00:21:16
78,652,00:21:17
79,671,00:21:41
80,665,00:21:51
81,684,00:21:54
82,681,00:21:55
83,658,00:21:55
84,683,00:21:56
85,675,00:21:56
86,690,00:22:05
87,686,00:22:15
88,703,00:22:26
89,698,00:22:30
90,708,00:22:30
91,702,00:22:52
92,720,00:22:57
93,724,00:23:04
94,726,00:23:08
95,753,00:24:05
96,773,00:24:07
97,1699,00:43:19
98,1763,00:44:36
99,4984,01:37:13
100,12011,03:20:45
