highest,episode,time
1,28,00:00:08
2,30,00:00:10
3,35,00:00:40
4,41,00:01:19
5,46,00:01:26
6,49,00:01:28
7,66,00:02:11
8,76,00:02:19
9,82,00:02:25
10,83,00:02:27
11,84,00:02:28
12,87,00:02:31
13,88,00:02:32
14,99,00:03:14
15,102,00:03:16
16,108,00:03:31
17,110,00:03:35
18,113,00:03:39
19,120,00:04:12
20,122,00:04:17
21,125,00:04:20
22,132,00:04:28
23,133,00:04:30
24,134,00:04:32
25,136,00:04:34
26,138,00:04:35
27,139,00:04:35
28,142,00:04:38
29,152,00:05:13
30,153,00:05:16
31,154,00:05:19
32,156,00:05:21
33,164,00:05:24
34,169,00:05:27
35,170,00:05:28
36,171,00:05:29
37,189,00:06:05
38,190,00:06:06
39,192,00:06:13
40,233,00:08:13
41,235,00:08:16
42,240,00:08:19
43,245,00:08:27
44,246,00:08:27
45,268,00:09:07
46,308,00:10:20
47,736,00:24:11
