highest,episode,time
1,9,00:00:03
2,48,00:00:15
3,65,00:00:22
4,75,00:00:27
5,80,00:00:27
6,89,00:00:35
7,94,00:00:35
8,100,00:00:37
9,104,00:00:40
10,124,00:00:49
11,126,00:00:49
12,130,00:00:50
13,127,00:00:51
14,135,00:00:52
15,134,00:00:54
16,143,00:00:58
17,150,00:00:59
18,148,00:00:59
19,157,00:01:02
20,169,00:01:10
21,173,00:01:10
22,176,00:01:12
23,197,00:01:24
24,206,00:01:27
25,207,00:01:34
26,223,00:01:35
27,220,00:01:36
28,229,00:01:37
29,225,00:01:38
30,224,00:01:40
31,268,00:02:00
32,300,00:02:12
33,295,00:02:13
34,304,00:02:14
35,315,00:02:20
36,318,00:02:22
37,320,00:02:23
38,326,00:02:23
39,319,00:02:24
40,371,00:02:49
41,369,00:02:51
42,372,00:02:52
43,373,00:02:53
44,381,00:02:55
45,383,00:02:56
46,385,00:02:57
47,396,00:03:00
48,400,00:03:02
49,399,00:03:03
50,404,00:03:04
51,408,00:03:04
52,402,00:03:05
53,407,00:03:05
54,410,00:03:08
55,420,00:03:10
56,415,00:03:12
57,433,00:03:14
58,434,00:03:14
59,441,00:03:16
60,454,00:03:21
61,449,00:03:21
62,437,00:03:22
63,462,00:03:25
64,463,00:03:26
65,465,00:03:26
66,480,00:03:32
67,479,00:03:32
68,494,00:03:39
69,506,00:03:46
70,501,00:03:47
71,537,00:03:56
72,520,00:03:57
73,539,00:03:59
74,536,00:03:59
75,571,00:04:12
76,578,00:04:12
77,573,00:04:14
78,657,00:04:46
79,686,00:04:51
80,689,00:04:51
81,684,00:04:52
82,692,00:04:53
83,687,00:04:53
84,714,00:05:00
85,722,00:05:00
86,744,00:05:07
87,745,00:05:09
88,757,00:05:11
89,929,00:06:01
90,932,00:06:02
91,965,00:06:14
92,978,00:06:17
93,985,00:06:19
94,1735,00:09:22
95,2969,00:13:37
96,3376,00:14:59
97,7494,00:27:13
98,13297,00:43:04
99,22274,01:06:31
100,27346,01:19:23
