highest,episode,time
1,26,00:00:06
2,36,00:01:21
3,39,00:01:40
4,46,00:01:51
5,48,00:01:57
6,53,00:02:08
7,75,00:03:13
8,83,00:04:04
9,86,00:04:09
10,92,00:04:30
11,99,00:04:38
12,106,00:05:26
13,110,00:05:38
14,112,00:05:40
15,120,00:05:52
16,121,00:05:54
17,123,00:06:04
18,127,00:06:44
19,130,00:06:46
20,148,00:08:02
21,152,00:08:04
22,183,00:09:43
23,186,00:09:46
24,188,00:09:47
25,189,00:09:47
26,201,00:10:48
27,206,00:10:59
28,225,00:11:36
29,230,00:12:17
30,285,00:15:52
31,286,00:15:58
32,307,00:17:04
33,351,00:19:31
34,378,00:21:11
35,381,00:21:15
36,385,00:21:21
37,398,00:22:11
38,399,00:22:12
39,409,00:22:19
40,420,00:22:39
41,422,00:22:50
42,429,00:23:37
43,430,00:23:39
44,436,00:23:46
45,458,00:25:06
46,599,00:32:39
47,623,00:33:57
48,626,00:34:00
49,627,00:34:03
50,628,00:34:05
51,633,00:34:13
52,636,00:34:19
53,637,00:34:20
54,646,00:34:31
55,1768,01:26:19
56,1776,01:27:05
57,1788,01:27:25
58,1790,01:27:25
59,1793,01:27:37
60,2234,01:45:10
61,2235,01:45:11
62,2237,01:45:12
63,2270,01:46:42
64,2271,01:46:47
65,2273,01:46:48
66,2278,01:46:51
67,2297,01:48:00
68,2298,01:48:01
69,5010,03:20:52
70,5470,03:35:07
71,5471,03:35:12
72,7777,04:39:03
73,7788,04:39:12
74,7795,04:39:45
75,7797,04:39:48
