highest,episode,time
1,26,00:00:04
2,29,00:00:08
3,37,00:00:21
4,38,00:00:22
5,46,00:00:31
6,56,00:01:02
7,61,00:01:26
8,62,00:01:27
9,63,00:01:27
10,73,00:01:28
11,78,00:01:37
12,80,00:01:41
13,83,00:01:43
14,85,00:01:43
15,106,00:02:27
16,107,00:02:39
17,109,00:02:40
18,115,00:02:50
19,122,00:02:59
20,126,00:03:05
21,134,00:03:21
22,135,00:03:22
23,136,00:03:23
24,152,00:03:56
25,171,00:04:17
26,174,00:04:19
27,213,00:05:16
28,244,00:06:07
29,245,00:06:08
30,279,00:06:53
31,314,00:08:09
32,335,00:08:54
33,350,00:09:19
34,355,00:09:39
35,356,00:09:40
36,361,00:09:51
37,362,00:09:53
38,474,00:13:26
39,483,00:13:53
40,490,00:14:04
41,491,00:14:07
42,496,00:14:18
43,497,00:14:18
44,509,00:14:39
45,514,00:14:43
46,515,00:14:48
47,516,00:14:49
48,973,00:28:27
49,984,00:28:49
50,987,00:28:51
51,1200,00:34:00
52,1204,00:34:03
53,1545,00:43:24
54,1551,00:43:33
55,1630,00:45:50
56,1902,00:52:56
57,2136,00:58:50
58,2499,01:07:13
59,2522,01:07:50
60,2543,01:08:07
61,2545,01:08:23
62,2819,01:14:37
63,2891,01:16:11
64,2892,01:16:12
65,3199,01:22:35
66,3200,01:22:37
67,3203,01:22:39
68,3207,01:22:44
69,4209,01:42:58
70,4212,01:43:02
71,4213,01:43:02
72,4214,01:43:03
73,4216,01:43:04
74,9845,03:23:51
