highest,episode,time
1,25,00:00:04
2,27,00:00:04
3,29,00:00:04
4,35,00:00:12
5,39,00:01:05
6,51,00:02:10
7,52,00:02:16
8,67,00:02:23
9,69,00:02:25
10,70,00:02:27
11,77,00:02:41
12,80,00:02:49
13,89,00:03:23
14,93,00:03:41
15,102,00:04:21
16,110,00:04:35
17,114,00:04:44
18,134,00:05:37
19,150,00:06:36
20,151,00:06:37
21,162,00:07:02
22,170,00:07:48
23,177,00:08:03
24,185,00:08:19
25,244,00:11:50
26,250,00:12:22
27,267,00:13:02
28,268,00:13:02
29,283,00:14:02
30,291,00:14:37
31,294,00:14:51
32,505,00:25:51
33,506,00:26:12
34,511,00:26:15
35,514,00:26:24
36,523,00:26:46
37,526,00:26:57
38,529,00:26:59
39,534,00:27:23
40,536,00:27:24
41,538,00:27:26
42,569,00:29:07
43,579,00:29:46
44,600,00:31:11
45,601,00:31:12
46,605,00:31:13
47,611,00:31:26
48,613,00:31:27
49,1075,00:52:08
50,1338,01:03:02
51,1342,01:03:11
52,1345,01:03:15
53,1349,01:03:18
54,1362,01:03:35
55,1370,01:04:03
56,1379,01:04:34
57,1380,01:04:36
58,1382,01:05:04
59,1532,01:10:00
60,1533,01:10:00
61,2369,01:39:44
62,2373,01:39:47
63,2375,01:39:50
64,3940,02:35:39
65,3956,02:36:23
66,4115,02:42:15
67,4131,02:43:24
68,4135,02:43:28
69,4140,02:43:33
70,4148,02:43:44
71,4163,02:44:26
72,4184,02:44:54
