highest,episode,time
1,25,00:00:01
2,28,00:00:03
3,30,00:00:07
4,34,00:00:12
5,45,00:01:00
6,73,00:01:50
7,75,00:01:51
8,77,00:01:53
9,83,00:01:58
10,86,00:02:22
11,93,00:02:36
12,106,00:03:17
13,108,00:03:18
14,113,00:03:27
15,116,00:03:29
16,121,00:03:34
17,137,00:04:14
18,138,00:04:15
19,140,00:04:21
20,146,00:04:27
21,183,00:05:42
22,186,00:05:53
23,189,00:05:57
24,195,00:06:03
25,205,00:06:31
26,209,00:06:38
27,220,00:06:45
28,225,00:06:51
29,227,00:06:54
30,262,00:08:33
31,302,00:09:55
32,368,00:11:53
33,369,00:11:54
34,392,00:12:39
35,395,00:12:42
36,397,00:12:42
37,398,00:12:42
38,399,00:12:43
39,404,00:13:13
40,413,00:13:21
41,419,00:13:30
42,423,00:13:32
43,427,00:13:38
44,437,00:14:07
45,440,00:14:09
46,504,00:16:35
47,505,00:16:35
48,776,00:25:32
49,786,00:26:01
50,810,00:26:58
51,827,00:27:22
52,855,00:28:16
53,873,00:28:55
54,875,00:28:58
55,877,00:29:02
56,2244,01:08:57
57,2247,01:08:57
58,2255,01:09:04
59,3553,01:38:57
60,4175,01:51:24
61,4649,02:00:24
62,4651,02:00:25
63,5101,02:09:18
64,5110,02:09:26
65,5118,02:09:33
66,5514,02:17:36
67,5515,02:17:36
68,5527,02:17:41
69,5533,02:17:45
70,7687,02:56:22
71,7711,02:56:54
72,8449,03:09:11
73,8450,03:09:11
74,10781,03:47:10
75,11344,03:56:16
76,11346,03:56:18
77,11347,03:56:19
