highest,episode,time
1,26,00:00:03
2,30,00:00:04
3,35,00:00:05
4,36,00:00:05
5,38,00:00:05
6,39,00:00:05
7,41,00:00:07
8,44,00:00:08
9,47,00:00:08
10,55,00:00:10
11,56,00:00:11
12,60,00:00:11
13,67,00:00:16
14,69,00:00:16
15,72,00:00:17
16,74,00:00:18
17,75,00:00:19
18,90,00:00:20
19,92,00:00:21
20,94,00:00:22
21,96,00:00:23
22,103,00:00:27
23,105,00:00:27
24,111,00:00:29
25,132,00:00:34
26,137,00:00:36
27,139,00:00:36
28,144,00:00:37
29,290,00:01:09
30,434,00:01:39
31,441,00:01:40
32,463,00:01:44
33,465,00:01:45
34,467,00:01:46
35,468,00:01:47
36,476,00:01:49
37,485,00:01:52
38,490,00:01:53
39,495,00:01:55
40,507,00:02:00
41,508,00:02:00
42,512,00:02:02
43,517,00:02:03
44,526,00:02:05
45,527,00:02:06
46,533,00:02:08
47,534,00:02:08
48,537,00:02:08
49,575,00:02:19
50,585,00:02:21
51,894,00:03:49
52,906,00:03:51
53,907,00:03:52
54,919,00:03:54
55,940,00:03:59
56,1512,00:06:32
57,1517,00:06:33
58,1518,00:06:33
59,1519,00:06:33
60,1524,00:06:34
61,1525,00:06:35
62,1547,00:06:38
63,1548,00:06:38
64,1942,00:08:02
65,1943,00:08:02
66,2471,00:09:46
67,2472,00:09:47
68,2479,00:09:48
69,2924,00:11:15
70,3669,00:13:31
71,3671,00:13:32
72,4419,00:15:39
73,6149,00:20:30
74,6432,00:21:18
75,6467,00:21:24
