highest,episode,time
1,26,00:00:06
2,27,00:00:06
3,28,00:00:06
4,33,00:00:07
5,40,00:00:27
6,52,00:01:52
7,57,00:02:03
8,74,00:02:47
9,88,00:03:11
10,89,00:03:14
11,90,00:03:16
12,91,00:03:17
13,93,00:03:43
14,94,00:03:44
15,100,00:03:55
16,102,00:04:06
17,109,00:04:17
18,115,00:04:32
19,118,00:05:05
20,137,00:06:36
21,140,00:06:43
22,141,00:06:44
23,142,00:06:46
24,145,00:06:54
25,160,00:07:33
26,163,00:07:34
27,165,00:07:36
28,166,00:07:48
29,171,00:07:59
30,188,00:09:01
31,191,00:09:06
32,246,00:12:57
33,248,00:13:03
34,249,00:13:11
35,252,00:13:16
36,255,00:13:19
37,258,00:13:22
38,323,00:16:04
39,327,00:16:46
40,333,00:17:01
41,350,00:18:03
42,470,00:23:49
43,632,00:32:05
44,633,00:32:09
45,636,00:32:11
46,637,00:32:12
47,639,00:32:12
48,672,00:33:43
49,674,00:33:46
50,711,00:35:32
51,787,00:38:47
52,793,00:38:55
53,1009,00:50:34
54,2569,01:59:14
55,2789,02:08:28
56,2793,02:08:30
57,3165,02:23:12
58,3168,02:23:16
59,3170,02:23:17
60,3171,02:23:20
61,3471,02:32:47
62,3599,02:37:10
63,3601,02:37:14
64,3602,02:37:15
65,3604,02:37:19
66,3609,02:37:26
67,3612,02:37:29
68,3614,02:37:29
69,3630,02:38:20
70,3648,02:38:48
71,8371,04:46:47
72,8373,04:47:16
73,10981,05:47:07
74,11510,05:58:52
75,11512,05:58:55
76,11516,05:59:02
77,11544,05:59:58
