highest,episode,time
1,25,00:00:04
2,27,00:00:06
3,33,00:00:20
4,35,00:00:25
5,40,00:00:47
6,47,00:01:22
7,50,00:01:26
8,51,00:01:26
9,76,00:02:38
10,98,00:03:21
11,100,00:03:24
12,101,00:03:56
13,107,00:04:15
14,109,00:04:17
15,115,00:04:33
16,121,00:05:15
17,123,00:05:18
18,129,00:05:26
19,177,00:08:18
20,181,00:08:27
21,183,00:08:33
22,185,00:08:35
23,187,00:08:38
24,191,00:08:46
25,195,00:09:17
26,198,00:09:19
27,199,00:09:22
28,200,00:09:23
29,202,00:09:27
30,203,00:09:27
31,204,00:09:31
32,207,00:09:34
33,211,00:09:45
34,212,00:09:46
35,222,00:10:09
36,224,00:10:40
37,226,00:10:41
38,239,00:11:14
39,244,00:11:18
40,257,00:12:12
41,267,00:12:48
42,270,00:12:52
43,273,00:12:54
44,274,00:13:21
45,275,00:13:22
46,277,00:13:25
47,285,00:13:43
48,292,00:13:51
49,294,00:13:53
50,302,00:14:04
51,2131,01:33:56
52,2138,01:34:05
53,2143,01:34:08
54,2146,01:34:12
55,2170,01:35:15
56,2173,01:35:20
57,3183,02:09:22
58,3194,02:09:32
59,3209,02:09:43
60,3221,02:10:31
61,3225,02:10:33
62,3226,02:10:34
63,3244,02:10:45
64,3245,02:10:49
65,4224,02:36:52
66,4485,02:43:36
67,4494,02:43:43
68,4726,02:50:09
69,4731,02:50:15
70,4737,02:50:21
71,4738,02:50:23
72,4739,02:50:25
73,10086,05:07:26
74,10217,05:11:08
75,10234,05:11:31
76,10253,05:11:46
77,12834,06:12:37
78,12843,06:12:44
79,12848,06:12:48
