highest,episode,time
1,3,00:00:08
2,12,00:00:10
3,53,00:00:38
4,67,00:01:05
5,155,00:04:10
6,172,00:04:18
7,202,00:04:35
8,167,00:06:56
9,165,00:07:02
10,223,00:07:04
11,207,00:07:14
12,297,00:08:08
13,315,00:10:46
14,345,00:11:21
15,329,00:11:32
16,569,00:21:05
17,566,00:21:05
18,574,00:21:09
19,588,00:21:13
20,614,00:21:38
21,591,00:21:40
22,604,00:21:40
23,599,00:21:41
24,648,00:24:32
25,636,00:24:33
26,672,00:24:51
27,691,00:24:53
28,699,00:24:55
29,654,00:25:03
30,701,00:25:07
31,698,00:25:09
32,705,00:25:11
33,761,00:25:51
34,752,00:25:51
35,746,00:25:51
36,1592,00:56:57
37,1587,00:57:00
38,1585,00:57:04
39,1598,00:57:09
40,1595,00:57:10
41,1619,00:59:29
42,1633,00:59:30
43,2226,01:20:38
44,2238,01:20:40
45,2265,01:20:44
46,2244,01:20:45
47,2393,01:24:38
48,2401,01:24:38
49,2389,01:24:41
50,2412,01:24:42
51,2526,01:28:12
52,2537,01:28:21
53,2538,01:28:34
54,2953,01:41:53
55,2964,01:41:56
56,3227,01:49:00
57,3248,01:49:13
58,3355,01:53:01
59,3390,01:53:04
60,3312,01:53:24
61,3415,01:55:35
62,3429,01:55:36
63,3422,01:55:37
64,4361,02:21:13
65,4365,02:21:14
66,4385,02:23:40
67,4418,02:23:47
68,5187,02:45:10
69,5176,02:45:11
70,5354,02:49:29
71,5389,02:51:56
72,5406,02:51:58
73,5400,02:52:03
74,5412,02:52:04
75,5416,02:52:06
76,5397,02:52:07
77,5822,03:03:04
78,5845,03:03:18
79,6954,03:34:13
80,8070,04:02:27
81,8151,04:05:41
82,8768,04:19:46
83,9475,04:37:19
84,9462,04:37:30
85,9482,04:37:32
86,9494,04:37:38
87,10340,04:58:18
88,10261,04:58:25
89,10347,04:58:25
90,10351,04:58:29
91,10334,04:58:31
