highest,episode,time
1,13,00:00:06
2,20,00:00:20
3,24,00:00:21
4,32,00:00:23
5,41,00:00:43
6,74,00:01:19
7,79,00:01:22
8,102,00:01:50
9,113,00:01:58
10,121,00:02:13
11,135,00:02:30
12,141,00:02:30
13,142,00:02:44
14,762,00:15:22
15,766,00:15:24
16,777,00:15:28
17,781,00:15:31
18,919,00:18:37
19,952,00:19:14
20,1224,00:24:43
21,1307,00:26:14
22,1300,00:26:15
23,1345,00:27:15
24,1356,00:27:24
25,1367,00:27:44
26,1369,00:27:46
27,1389,00:28:01
28,1436,00:28:55
29,1437,00:28:59
30,1444,00:29:01
31,1677,00:33:41
32,1684,00:33:42
33,1676,00:33:43
34,1699,00:33:57
35,1711,00:34:19
36,1721,00:34:24
37,1750,00:34:59
38,1770,00:35:27
39,1931,00:38:18
40,1932,00:38:22
41,2002,00:39:38
42,2001,00:39:39
43,1997,00:39:40
44,2004,00:39:44
45,2013,00:39:47
46,2014,00:39:49
47,2052,00:40:23
48,2054,00:40:23
49,2053,00:40:24
50,2068,00:40:47
51,2071,00:40:48
52,2078,00:40:51
53,2079,00:40:53
54,2086,00:40:58
55,2094,00:41:00
56,2088,00:41:02
57,2092,00:41:15
58,2259,00:44:07
59,2262,00:44:08
60,2328,00:45:17
61,2397,00:46:22
62,2411,00:46:28
63,2414,00:46:29
64,2412,00:46:29
65,2409,00:46:42
66,2416,00:46:42
67,2420,00:46:46
68,2431,00:46:51
69,2429,00:46:53
70,2436,00:46:54
71,2430,00:46:56
72,2443,00:47:00
73,2472,00:47:27
74,2596,00:49:04
75,2593,00:49:04
76,2612,00:49:27
77,2622,00:49:33
78,2625,00:49:38
79,2635,00:49:39
80,2642,00:49:56
81,2667,00:50:11
82,2677,00:50:12
83,2690,00:50:32
84,2978,00:53:27
85,2988,00:53:46
86,3010,00:53:50
87,3014,00:53:53
88,3065,00:54:22
89,3285,00:56:12
90,3296,00:56:30
91,3300,00:56:30
92,3650,00:59:09
93,3655,00:59:10
94,3910,01:00:53
95,3935,01:00:59
96,3943,01:01:02
97,3960,01:01:06
