highest,episode,time
1,15,00:00:25
2,77,00:02:51
3,100,00:03:34
4,174,00:05:41
5,206,00:06:53
6,265,00:08:51
7,263,00:08:53
8,271,00:09:21
9,331,00:11:50
10,348,00:12:33
11,421,00:15:49
12,430,00:16:17
13,454,00:17:12
14,450,00:17:13
15,457,00:17:17
16,461,00:17:23
17,460,00:17:28
18,498,00:18:47
19,497,00:18:48
20,500,00:18:56
21,700,00:28:25
22,702,00:28:50
23,709,00:28:52
24,707,00:28:55
25,722,00:29:18
26,809,00:33:15
27,813,00:33:38
28,814,00:33:42
29,848,00:35:04
30,845,00:35:13
31,879,00:36:11
32,1044,00:43:53
33,1048,00:43:57
34,1047,00:43:59
35,1051,00:44:01
36,1063,00:44:44
37,1064,00:44:49
38,1067,00:44:49
39,1074,00:45:00
40,1069,00:45:02
41,1071,00:45:17
42,1099,00:46:19
43,1103,00:46:24
44,1106,00:46:24
45,1107,00:46:26
46,1108,00:46:30
47,1113,00:46:31
48,1109,00:46:56
49,1120,00:47:00
50,1121,00:47:02
51,1124,00:47:04
52,1122,00:47:08
53,1125,00:47:10
54,1123,00:47:12
55,1374,00:56:25
56,1400,00:57:14
57,1407,00:57:19
58,1408,00:57:21
59,1403,00:57:21
60,1411,00:57:30
61,1417,00:57:33
62,1424,00:58:00
63,1450,00:58:36
64,1705,01:04:28
65,1704,01:04:45
66,1708,01:04:45
67,1718,01:04:59
68,1721,01:05:00
69,1722,01:05:01
70,1854,01:08:04
71,1852,01:08:05
72,1863,01:08:12
73,1868,01:08:16
74,1872,01:08:18
75,1871,01:08:18
76,1877,01:08:37
77,2023,01:11:26
78,2016,01:11:44
79,2028,01:11:46
80,2036,01:11:48
81,2073,01:12:34
82,2076,01:12:41
83,2077,01:12:43
84,2082,01:12:48
85,2470,01:20:59
86,2492,01:21:07
87,2501,01:21:19
88,2503,01:21:21
89,2504,01:21:23
90,2719,01:25:57
91,3290,01:36:41
92,4131,01:51:49
93,4359,01:56:08
94,5259,02:12:10
95,7234,02:44:59
96,7241,02:45:02
97,7260,02:45:33
