highest,episode,time
1,4,00:00:10
2,11,00:00:11
3,24,00:00:25
4,35,00:00:32
5,65,00:00:47
6,89,00:01:14
7,94,00:01:18
8,96,00:01:20
9,111,00:01:28
10,153,00:02:19
11,160,00:02:27
12,177,00:02:35
13,180,00:02:40
14,183,00:02:42
15,179,00:02:43
16,192,00:02:54
17,197,00:02:54
18,214,00:03:14
19,217,00:03:15
20,221,00:03:18
21,231,00:03:28
22,224,00:03:29
23,230,00:03:30
24,229,00:03:32
25,236,00:03:34
26,245,00:03:44
27,249,00:03:44
28,255,00:03:54
29,250,00:03:56
30,260,00:04:02
31,259,00:04:08
32,273,00:04:12
33,274,00:04:15
34,270,00:04:20
35,268,00:04:21
36,272,00:04:24
37,278,00:04:25
38,288,00:04:28
39,281,00:04:31
40,323,00:04:56
41,320,00:04:58
42,357,00:05:26
43,363,00:05:39
44,395,00:05:58
45,402,00:06:04
46,400,00:06:09
47,409,00:06:09
48,405,00:06:12
49,413,00:06:15
50,406,00:06:15
51,407,00:06:16
52,419,00:06:17
53,415,00:06:18
54,423,00:06:27
55,420,00:06:27
56,434,00:06:30
57,430,00:06:30
58,438,00:06:31
59,428,00:06:31
60,429,00:06:32
61,439,00:06:33
62,450,00:06:34
63,448,00:06:35
64,447,00:06:38
65,475,00:06:53
66,477,00:06:57
67,484,00:06:58
68,485,00:06:59
69,483,00:06:59
70,481,00:07:00
71,479,00:07:02
72,488,00:07:02
73,498,00:07:08
74,523,00:07:28
75,531,00:07:31
76,558,00:07:47
77,555,00:07:49
78,563,00:07:50
79,570,00:07:52
80,568,00:07:53
81,715,00:09:22
82,727,00:09:23
83,724,00:09:23
84,826,00:10:22
85,841,00:10:33
86,865,00:10:39
87,869,00:10:48
88,880,00:10:49
89,860,00:10:49
90,2021,00:18:40
91,2029,00:18:41
92,2027,00:18:42
93,2024,00:18:44
94,2519,00:21:56
95,3089,00:25:06
96,3117,00:25:18
