highest,episode,time
1,28,00:00:16
2,55,00:00:35
3,63,00:00:41
4,66,00:00:46
5,84,00:00:55
6,88,00:00:58
7,92,00:01:01
8,100,00:01:05
9,139,00:01:31
10,143,00:01:37
11,163,00:01:53
12,169,00:01:57
13,183,00:02:01
14,195,00:02:12
15,196,00:02:13
16,193,00:02:15
17,208,00:02:21
18,255,00:02:53
19,254,00:02:53
20,270,00:03:04
21,278,00:03:10
22,290,00:03:14
23,288,00:03:14
24,291,00:03:18
25,287,00:03:18
26,295,00:03:20
27,305,00:03:24
28,300,00:03:26
29,312,00:03:31
30,317,00:03:32
31,321,00:03:39
32,333,00:03:47
33,352,00:03:57
34,358,00:04:01
35,357,00:04:02
36,355,00:04:03
37,367,00:04:06
38,369,00:04:07
39,372,00:04:07
40,377,00:04:12
41,368,00:04:12
42,379,00:04:13
43,380,00:04:14
44,378,00:04:14
45,374,00:04:15
46,384,00:04:17
47,396,00:04:26
48,406,00:04:27
49,405,00:04:29
50,401,00:04:30
51,412,00:04:32
52,431,00:04:46
53,432,00:04:49
54,455,00:04:56
55,451,00:04:56
56,454,00:04:56
57,450,00:04:58
58,458,00:04:59
59,459,00:04:59
60,463,00:05:00
61,465,00:05:00
62,471,00:05:02
63,493,00:05:19
64,508,00:05:27
65,540,00:05:44
66,538,00:05:44
67,542,00:05:44
68,621,00:06:27
69,622,00:06:29
70,624,00:06:29
71,629,00:06:30
72,771,00:07:41
73,788,00:07:47
74,801,00:07:51
75,792,00:07:51
76,806,00:07:53
77,803,00:07:54
78,828,00:08:05
79,835,00:08:08
80,845,00:08:09
81,839,00:08:09
82,855,00:08:13
83,916,00:08:42
84,952,00:08:51
85,956,00:08:58
86,957,00:08:59
87,960,00:08:59
88,986,00:09:06
89,997,00:09:11
90,1022,00:09:20
91,1033,00:09:25
92,1062,00:09:33
93,1053,00:09:36
94,1064,00:09:37
95,1088,00:09:42
96,1103,00:09:46
97,1087,00:09:49
98,1102,00:09:52
99,2349,00:15:24
100,2619,00:16:20
