highest,episode,time
1,9,00:00:06
2,43,00:00:26
3,68,00:00:37
4,75,00:00:42
5,83,00:00:43
6,88,00:00:46
7,94,00:00:51
8,101,00:00:56
9,107,00:01:01
10,116,00:01:03
11,120,00:01:06
12,124,00:01:07
13,126,00:01:08
14,136,00:01:11
15,140,00:01:13
16,141,00:01:16
17,143,00:01:16
18,153,00:01:20
19,148,00:01:20
20,168,00:01:28
21,173,00:01:29
22,177,00:01:30
23,201,00:01:44
24,212,00:01:49
25,216,00:01:50
26,205,00:01:50
27,226,00:01:53
28,222,00:01:55
29,231,00:01:56
30,243,00:02:04
31,253,00:02:12
32,259,00:02:17
33,279,00:02:25
34,291,00:02:29
35,284,00:02:30
36,301,00:02:33
37,302,00:02:33
38,286,00:02:33
39,297,00:02:35
40,309,00:02:38
41,304,00:02:39
42,305,00:02:40
43,316,00:02:40
44,300,00:02:40
45,313,00:02:40
46,315,00:02:41
47,322,00:02:42
48,321,00:02:44
49,324,00:02:46
50,323,00:02:48
51,331,00:02:49
52,337,00:02:56
53,349,00:03:00
54,357,00:03:05
55,362,00:03:07
56,375,00:03:10
57,372,00:03:11
58,358,00:03:11
59,369,00:03:11
60,368,00:03:12
61,371,00:03:12
62,384,00:03:15
63,386,00:03:16
64,379,00:03:16
65,385,00:03:17
66,373,00:03:17
67,378,00:03:18
68,398,00:03:25
69,409,00:03:26
70,466,00:03:55
71,540,00:04:29
72,565,00:04:43
73,597,00:04:52
74,601,00:04:53
75,645,00:05:08
76,633,00:05:11
77,675,00:05:16
78,677,00:05:18
79,678,00:05:19
80,686,00:05:19
81,676,00:05:20
82,694,00:05:26
83,703,00:05:27
84,714,00:05:29
85,712,00:05:29
86,708,00:05:30
87,705,00:05:30
88,713,00:05:31
89,740,00:05:38
90,1468,00:09:11
91,1466,00:09:11
92,1816,00:10:38
93,1827,00:10:39
94,1840,00:10:43
95,2212,00:12:31
96,6320,00:26:17
97,7147,00:28:57
98,18089,01:01:06
99,18088,01:01:07
100,39153,01:59:30
